1,3EV INDUSTRIES PVT LTD,60,0,61,13,75,0,125,40,35,61,0,76,546
2,3S INDUSTRIES PRIVATE LIMITED,6,1,22,9,8,8,11,21,44,43,38,55,266
3,A1 HEAVY EQUIPMENTS DEVELOPER,2,1,4,6,3,1,1,1,4,1,1,0,25
4,A-1 SUREJA INDUSTRIES,0,0,0,0,0,0,0,0,1,0,0,0,1
5,AADHYA ENTERPRISES,40,37,60,35,59,89,64,117,85,75,75,61,797
6,AADITYA EMOTORS INDIA PVT LTD,0,0,0,0,0,0,0,1,0,0,0,0,1
7,AADITYA GARBAGE PRODUCTS PVT LTD,6,1,2,0,7,8,3,1,2,1,3,0,34
8,AAHANA COMMERCE PVT LTD,38,66,74,55,79,72,85,110,74,86,93,87,919
9,AARGEE ELECTRIC,0,0,0,0,5,4,4,0,0,5,0,0,18
10,AARON INDUSTRIES,23,2,2,1,0,6,2,0,0,0,0,0,36
11,A B EXCAVATORS & EARTHMOVERS PVT LTD,0,0,0,0,0,0,1,0,0,0,0,0,1
12,AB N DHRUV AUTOCRAFT (INDIA) PVT LTD,0,0,0,0,0,0,0,0,0,0,0,1,1
13,ABZO MOTORS PVT LTD,0,0,0,0,1,3,0,0,3,5,2,1,15
14,ACCRETION POWER AUTOS,36,51,63,57,41,56,57,50,33,37,43,74,598
15,ACTION CONSTRUCTION EQUIPMENT LTD.,726,700,825,610,861,"1,088",675,584,680,672,663,799,"8,883"
16,A D AGRO WORKS,17,5,13,7,9,30,0,4,6,8,1,10,110
17,ADAPT MOTORS PVT LTD,0,1,0,1,0,0,1,0,0,0,0,1,4
18,ADICO ESCORTS AGRI EQUIPMENTS PVT. LTD.,104,92,89,45,39,134,722,495,157,129,105,212,"2,323"
19,ADIDEV TECHNOA PVT LTD,39,46,23,31,42,54,65,60,91,103,50,85,689
20,ADISHAKTI TRACTORS,12,20,0,0,0,3,3,0,0,0,1,1,40
21,ADISHWAR AUTO RIDE INDIA PVT.LTD,0,0,1,0,0,0,0,0,0,0,0,0,1
22,ADISHWAR AUTO RIDE INDIA PVT LTD,46,42,55,20,27,21,24,43,29,26,28,23,384
23,ADITYA AGRO INDUSTRIES,5,4,2,4,9,12,6,1,9,6,1,4,63
24,ADITYA ENTERPRISES,0,0,0,0,0,1,0,0,0,1,0,0,2
25,ADITYA SAI INDUSTRIES,10,15,14,12,22,17,11,17,19,7,8,27,179
26,ADM TECHNOLOGIES PVT. LTD.,0,0,1,4,10,9,26,24,19,13,9,14,129
27,ADRIS ELECTRIC PVT LTD,40,7,4,5,0,2,0,0,1,1,1,0,61
28,AFTEK MOTORS INDIA PVT LTD,23,20,17,6,14,10,12,8,7,11,6,4,138
29,"AFZAL ENGG WORKS,JUNAGARH",0,0,0,0,1,0,1,0,0,0,0,0,2
30,AGRI KING TRACTORS & EQUIPMENTS PVT LTD,8,7,7,7,2,20,1,4,2,2,0,5,65
31,AGRO INDUSTRIES,13,20,21,7,23,16,10,4,3,8,11,13,149
32,AHITESHAM AGRO ENGINEERING,0,1,1,1,0,0,1,0,1,0,2,0,7
33,AHMED MOTORS,2,29,6,5,0,2,1,7,7,0,5,10,74
34,AJANTA KRUSHI YANTRA,23,15,0,0,4,2,9,0,17,25,0,0,95
35,AJAX ENGINEERING LTD,175,229,356,343,391,306,306,267,276,295,282,327,"3,553"
36,AJAX FIORI ENGINEERING PVT LTD,0,0,3,2,0,2,0,0,0,0,0,0,7
37,"AJAY AGRO ENTERPRISES,SBP",0,3,0,1,0,1,0,1,0,1,0,0,7
38,AJAY ENGINEERING AND AGRICULTURAL EQUIPMENT CO.,0,1,0,0,3,2,0,1,1,0,0,1,9
39,AJAY ENTERPRISES,2,1,1,1,5,0,0,7,3,4,1,0,25
40,AJAY MOTORS PRIVATE LIMITED,13,15,16,15,22,12,11,17,13,21,22,13,190
41,AJIT ENGINEERING WORKS,3,0,0,0,1,2,0,0,0,0,0,0,6
42,AJS MOTORCYCLES LTD,0,1,1,0,0,0,0,0,0,0,0,0,2
43,AKAL AGRO INDUSTRY,0,2,2,1,1,1,0,0,4,4,1,0,16
44,AKASH AGRO INDUSTRIES,1,0,0,0,0,0,0,0,0,0,0,0,1
45,AKASH KRISHI YANTRA,0,0,0,0,0,1,0,0,0,0,0,0,1
46,AKASH TRAILOR,0,7,8,0,5,3,2,2,3,3,0,2,35
47,A K AUTTO ELECTRICAL,0,1,0,0,0,0,0,1,0,0,0,0,2
48,AKG INTERNATIONAL,0,0,0,0,0,0,0,0,0,7,51,80,138
49,A K GUPTA & CO.,28,49,48,46,46,53,42,60,41,68,37,45,563
50,A K S ENG AGRO INDUSTRIES,0,4,0,1,3,2,1,2,3,2,2,5,25
